"InvoiceNo","CustomerID","Quantity","UnitPrice","TotalSales","InvoiceDate"
"538032","14479.0","6","1.95","11.7","2010-12-09"
"538035","16065.0","5","2.95","14.75","2010-12-09"
"538037","17430.0","12","3.25","39","2010-12-09"
"538040","16520.0","1","7.95","7.95","2010-12-09"
"538048","15945.0","16","0.85","13.6","2010-12-09"
"538049","12748.0","1","3.75","3.75","2010-12-09"
"538050","12748.0","2","7.95","15.9","2010-12-09"
"538051","18041.0","1","1.95","1.95","2010-12-09"
"538053","15856.0","4","10.95","43.8","2010-12-09"
"538056","17198.0","1","0.95","0.95","2010-12-09"
"538057","13102.0","4","3.75","15","2010-12-09"
"538063","18102.0","96","19.94","1914.2400000000002","2010-12-09"
"538064","15271.0","2","1.95","3.9","2010-12-09"
"538065","13982.0","8","2.95","23.6","2010-12-09"
"538067","15288.0","4","2.1","8.4","2010-12-09"
"538068","17978.0","5","0.85","4.25","2010-12-09"
"538069","16795.0","4","0.85","3.4","2010-12-09"
"538070","16519.0","2","5.95","11.9","2010-12-09"
"538073","17816.0","2","1.65","3.3","2010-12-09"
"538076","15311.0","8","10.95","87.6","2010-12-09"
"538077","14667.0","2","7.95","15.9","2010-12-09"
"538078","16255.0","3","2.95","8.850000000000001","2010-12-09"
"538079","17671.0","8","3.75","30","2010-12-09"
"538080","17646.0","6","2.55","15.299999999999999","2010-12-09"
"538086","12872.0","2","0.95","1.9","2010-12-09"
"538087","17339.0","4","3.75","15","2010-12-09"
"538094","13117.0","4","3.75","15","2010-12-09"
"538097","15192.0","6","5.45","32.7","2010-12-09"
"538101","15380.0","78","2.95","230.10000000000002","2010-12-09"
"538104","17950.0","12","0.42","5.04","2010-12-09"
"538106","17950.0","1","8.5","8.5","2010-12-09"
"538107","12826.0","6","2.95","17.700000000000003","2010-12-09"
"538108","17456.0","8","1.25","10","2010-12-09"
"538113","15811.0","4","3.75","15","2010-12-09"
"538116","13327.0","12","2.55","30.599999999999998","2010-12-09"
"538117","13327.0","12","2.1","25.200000000000003","2010-12-09"
"538120","17017.0","50","1.45","72.5","2010-12-09"
"538125","18225.0","4","3.75","15","2010-12-09"
"538126","17838.0","2","8.5","17","2010-12-09"
"538145","15211.0","8","1.69","13.52","2010-12-09"
"538146","15596.0","6","2.95","17.700000000000003","2010-12-09"
"538147","13090.0","1","15","15","2010-12-09"
"538151","16163.0","50","3.75","187.5","2010-12-09"
"538155","16907.0","24","2.75","66","2010-12-09"
"538156","15555.0","3","8.5","25.5","2010-12-09"
"538157","17576.0","2","7.95","15.9","2010-12-09"
"538163","17841.0","8","5.95","47.6","2010-12-09"
"538165","14031.0","72","1.06","76.32000000000001","2010-12-09"
"538166","17965.0","3","2.95","8.850000000000001","2010-12-09"
"538167","14713.0","12","1.25","15","2010-12-09"
"538168","14702.0","6","1.25","7.5","2010-12-09"
"538169","13230.0","2","0.95","1.9","2010-12-09"
"538170","13969.0","16","1.69","27.04","2010-12-09"
"538171","17530.0","2","1.95","3.9","2010-12-09"
"538172","15805.0","24","1.25","30","2010-12-10"
"538176","17675.0","16","3.75","60","2010-12-10"
"538178","17696.0","2","6.95","13.9","2010-12-10"
"538179","17696.0","6","2.95","17.700000000000003","2010-12-10"
"538180","13418.0","24","1.25","30","2010-12-10"
"538181","17076.0","2","12.75","25.5","2010-12-10"
"538182","17827.0","2","12.75","25.5","2010-12-10"
"538183","16265.0","2","4.25","8.5","2010-12-10"
"538184","17880.0","6","2.95","17.700000000000003","2010-12-10"
"538185","16265.0","4","8.5","34","2010-12-10"
"538186","13000.0","12","1.95","23.4","2010-12-10"
"538187","16499.0","12","0.85","10.2","2010-12-10"
"538190","17790.0","5","2.95","14.75","2010-12-10"
"538191","15061.0","30","6.75","202.5","2010-12-10"
"538192","15061.0","20","6.75","135","2010-12-10"
"538193","15061.0","10","6.75","67.5","2010-12-10"
"538194","17790.0","1","0.95","0.95","2010-12-10"
"538195","15061.0","20","6.75","135","2010-12-10"
"538197","14419.0","3","2.1","6.300000000000001","2010-12-10"
"538198","17827.0","6","0.85","5.1","2010-12-10"
"538199","14082.0","2","1.65","3.3","2010-12-10"
"538200","17912.0","2","5.95","11.9","2010-12-10"
"538201","15723.0","2","4.95","9.9","2010-12-10"
"538202","14667.0","2","5.45","10.9","2010-12-10"
"538203","13767.0","10","3.75","37.5","2010-12-10"
"538204","16656.0","96","2.1","201.60000000000002","2010-12-10"
"538205","12748.0","5","0.95","4.75","2010-12-10"
"538206","17827.0","2","1.95","3.9","2010-12-10"
"538207","12748.0","75","0.42","31.5","2010-12-10"
"538208","14037.0","2","2.95","5.9","2010-12-10"
"538209","12748.0","1","0.95","0.95","2010-12-10"
"538210","14256.0","8","0.85","6.8","2010-12-10"
"538211","17690.0","12","2.1","25.200000000000003","2010-12-10"
"538216","14543.0","18","3.75","67.5","2010-12-10"
"538240","16062.0","12","1.49","17.88","2010-12-10"
"538248","18116.0","2","1.95","3.9","2010-12-10"
"538250","18118.0","1","2.95","2.95","2010-12-10"
"538252","16019.0","4","5.95","23.8","2010-12-10"
"538260","18178.0","12","1.65","19.799999999999997","2010-12-10"
"538263","18065.0","10","1.65","16.5","2010-12-10"
"538268","18065.0","2","5.95","11.9","2010-12-10"
"538279","14952.0","10","6.75","67.5","2010-12-10"
"538280","12748.0","12","1.25","15","2010-12-10"
"538283","12748.0","1","4.25","4.25","2010-12-10"
"538288","12748.0","2","0.95","1.9","2010-12-10"
"538296","13148.0","16","0.85","13.6","2010-12-10"
"538306","12989.0","30","6.75","202.5","2010-12-10"
"538307","14667.0","24","0.29","6.959999999999999","2010-12-10"
